,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,463.7838614463806,81.20508442368137,42.24259042739868,0.8499359351016836,1,scale,"{'C': 1, 'gamma': 'scale'}",0.7096378146101905,0.70292331055429,0.7074842708235515,0.7091132539232369,0.7088535754824062,0.707602445078735,0.002445357431282145,12
1,1377.503291606903,16.15340407449618,58.870069694519046,0.3510732054788833,1,auto,"{'C': 1, 'gamma': 'auto'}",0.9416139828932689,0.9222964964680225,0.9249456470365819,0.9197794886417641,0.9233394965154317,0.9263950223110138,0.00779252061392823,6
2,401.7527527332306,62.29196668220656,37.603628158569336,0.6636524215474361,10,scale,"{'C': 10, 'gamma': 'scale'}",0.7467129291453616,0.7423985324466864,0.7455073516064622,0.7429878746282316,0.7441924398625429,0.7443598255378568,0.0015881341579334829,11
3,2055.7337474823,226.27044917571942,56.637838220596315,0.39926701716634266,10,auto,"{'C': 10, 'gamma': 'auto'}",0.9471839106969878,0.9301605181638976,0.9312719606465214,0.9279135338345864,0.9304858014550574,0.93340314495941,0.0069801547668895065,5
4,339.4305201530457,11.105198179982137,35.60612502098083,0.39380521077563724,50,scale,"{'C': 50, 'gamma': 'scale'}",0.7641830559757943,0.7614386848481969,0.7684483164586768,0.765450837167386,0.7663347558084399,0.7651711300516988,0.0023272150435667987,10
5,2058.680928659439,232.43463643479754,56.74763269424439,0.4710068541499022,50,auto,"{'C': 50, 'gamma': 'auto'}",0.9471839106969878,0.9302041774231401,0.931315592203898,0.9279135338345864,0.9304923264654809,0.9334219081248186,0.006972914863149544,1
6,319.6504377365112,9.583467621307529,34.341376829147336,0.265582672375166,100,scale,"{'C': 100, 'gamma': 'scale'}",0.7796140619029424,0.7740603849661595,0.7821122740247383,0.779799337525803,0.7782153491499375,0.7787602815139161,0.0026619696084688093,9
7,2048.4009701251985,235.0365653067319,56.37654027938843,0.36020239060366344,100,auto,"{'C': 100, 'gamma': 'auto'}",0.9471839106969878,0.9302041774231401,0.931315592203898,0.9279135338345864,0.9304923264654809,0.9334219081248186,0.006972914863149544,1
8,299.6510590076447,9.396461614071868,32.86456952095032,0.15833696350029725,200,scale,"{'C': 200, 'gamma': 'scale'}",0.7943898482969183,0.7886541133630397,0.79632800608828,0.7943112477778312,0.7912119609634151,0.7929790352978968,0.002713237557271139,8
9,2066.440011548996,227.7641487182134,57.039270067214964,0.44129073484443315,200,auto,"{'C': 200, 'gamma': 'auto'}",0.9471839106969878,0.9302041774231401,0.931315592203898,0.9279135338345864,0.9304923264654809,0.9334219081248186,0.006972914863149544,1
10,283.3214231014252,10.093652651393915,30.528316307067872,0.16506320200029076,500,scale,"{'C': 500, 'gamma': 'scale'}",0.8090281063688842,0.8027793641728538,0.8115242690888446,0.8107285524063155,0.8048838651213812,0.8077888314316558,0.0033960226074182765,7
11,1854.907218313217,215.16774311071336,48.295579290390016,7.734665993565797,500,auto,"{'C': 500, 'gamma': 'auto'}",0.9471839106969878,0.9302041774231401,0.931315592203898,0.9279135338345864,0.9304923264654809,0.9334219081248186,0.006972914863149544,1
