,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta0,param_learning_rate,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7741929531097412,0.15820404669296062,0.027890443801879883,0.011560059236529745,0.001,constant,l2,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l2'}",0.33060678167757285,0.666885304552637,0.7749066614266064,0.5946480440022248,0.0005348546978070957,0.4735163292713696,0.2782212067096445,65
1,1.104323673248291,0.18157091799240807,0.022587156295776366,0.0022602687678673367,0.001,constant,l1,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l1'}",0.7653911433420768,0.7820562560620755,0.6740101400289714,0.5267961924631633,0.7342978368227029,0.696510313743798,0.09251995959031034,56
2,1.5286359786987305,0.3450309654752714,0.02535243034362793,0.002659930583707577,0.001,constant,elasticnet,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.7310003534817956,0.6670045918063092,0.6714315745217574,0.5913991820547776,0.6709096367457221,0.6663490677220724,0.04437191564253066,61
3,6.948835802078247,0.4659996671124854,0.0238955020904541,0.0010416784990042688,0.001,optimal,l2,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.8000188572506128,0.7894222945484133,0.771414437383462,0.651949271958666,0.8018340210912426,0.7629277764464792,0.056532566736778436,35
4,3.3500169277191163,0.8109737159557486,0.02173194885253906,0.00032195847886960565,0.001,optimal,l1,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.7861469459471956,0.786332499282169,0.7968109941417434,0.7958895651406899,0.7965019076606507,0.7923363824344897,0.004987075187343448,23
5,6.994133996963501,1.2530885884556535,0.0219973087310791,0.0008247408984810546,0.001,optimal,elasticnet,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6373022978215458,0.7980616819890403,0.7259283423041375,0.6834668068396154,0.7918835550414498,0.7273285367991578,0.06196945023612435,47
6,3.140564727783203,0.620660667868455,0.022968482971191407,0.0015579846448036084,0.001,invscaling,l2,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.8003934057699513,0.7707395252995497,0.8041047230627549,0.7961736571008096,0.799117403695872,0.7941057429857876,0.011957319487976518,22
7,4.950372648239136,0.8863649117660534,0.026155805587768553,0.007341343258169574,0.001,invscaling,l1,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.7146330901702141,0.7706219000381535,0.8041047230627549,0.7776790886271481,0.8008626227402037,0.7735802849276949,0.03217574018627898,31
8,5.368214893341064,1.6413204154726493,0.024443769454956056,0.003013027561756854,0.001,invscaling,elasticnet,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.7507109004739337,0.7171653016881163,0.6178390137781001,0.7642192878795664,0.793661087018198,0.728719118167583,0.06064527694956568,45
9,4.039812850952148,1.8456583907867705,0.02803072929382324,0.0039910534899785955,0.001,adaptive,l2,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.802065404475043,0.7935229996833869,0.7998397293206304,0.8003798842257598,0.797473457868566,0.7986562951146773,0.002957807583677145,13
10,3.545190715789795,1.1731560162067125,0.025364780426025392,0.003920817124587775,0.001,adaptive,l1,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.7941071428571428,0.7961617792126265,0.7961688924861731,0.7927993124971732,0.797963103586903,0.7954400461280038,0.0017982235588844128,15
11,4.655298280715942,0.8933039363725702,0.02149190902709961,0.0009051168972213526,0.001,adaptive,elasticnet,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.799646095996461,0.7940408677648753,0.7969085060757685,0.8020277481323372,0.8008663868958982,0.798697920973068,0.00288371910916042,12
12,0.23822498321533203,0.04084959004730902,0.02192234992980957,0.0011194759390623435,0.05,constant,l2,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l2'}",0.5939865215137377,0.0,0.35990037359900373,0.0,0.6844494492733223,0.32766726887721276,0.2877464577714167,68
13,1.132741641998291,0.20817883188018088,0.022137880325317383,0.0012206984776915062,0.05,constant,l1,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l1'}",0.765128125964804,0.6667657550535077,0.6743778690504953,0.6088176108299286,0.7912541641251818,0.7012687050047834,0.0672847440750822,54
14,0.27646708488464355,0.007340726593094181,0.02087745666503906,0.0008439674828456097,0.05,constant,elasticnet,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.5169586503863622,0.10203910380129227,0.6010594947025265,0.0,0.6555447384724311,0.37512039747252246,0.2702195708031114,66
15,6.259352970123291,1.013919044933967,0.023719167709350585,0.0006676767914165416,0.05,optimal,l2,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.8000188572506128,0.7894222945484133,0.771414437383462,0.651949271958666,0.8018340210912426,0.7629277764464792,0.056532566736778436,35
16,4.024015760421753,0.8115201512964759,0.023781442642211915,0.0013446943607050962,0.05,optimal,l1,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.7861469459471956,0.786332499282169,0.7968109941417434,0.7958895651406899,0.7965019076606507,0.7923363824344897,0.004987075187343448,23
