,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,18.093337297439575,5.73561555158413,0.04953556060791016,0.0048573844443222085,True,"(50,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.8325520707485623,0.7895679062576287,0.8519073209408863,0.8255905511811025,0.8570086874853252,0.8313253073227009,0.023922074414117915,3
1,22.920569896697998,8.781274463178926,0.051828956604003905,0.005084090364957409,True,"(50,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.8325520707485623,0.7895679062576287,0.8519073209408863,0.8255905511811025,0.8570086874853252,0.8313253073227009,0.023922074414117915,3
2,43.653031873703,16.353531882723804,0.0699537754058838,0.00947284356880184,True,"(100,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.8200884345462659,0.8567987152034262,0.8582601054481548,0.8730137294620751,0.8500769822940724,0.8516475933907988,0.01746550009845191,1
3,37.94521403312683,14.20347251047932,0.06317873001098633,0.01076660565841789,True,"(100,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.8200884345462659,0.8567987152034262,0.8582601054481548,0.8730137294620751,0.8500769822940724,0.8516475933907988,0.01746550009845191,1
4,30.005681848526002,9.492490838486066,0.10768117904663085,0.0029585436493416288,True,"(200,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.8314769975786924,0.6367739993981342,0.8417499324871724,0.8599279312575072,0.8247344099852318,0.7989326541413476,0.08194392882690567,5
5,29.60798044204712,9.527550430490246,0.11140737533569336,0.006404326456376393,True,"(200,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.8314769975786924,0.6367739993981342,0.8417499324871724,0.8599279312575072,0.8247344099852318,0.7989326541413476,0.08194392882690567,5
6,13.22895565032959,1.824432261836351,0.04239788055419922,0.006118236424304978,False,"(50,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.7130553037171351,0.7669799231097821,0.6255538694992414,0.7419550698239223,0.733870430787669,0.7162829193875501,0.048540177272523764,7
7,13.22271032333374,1.7784446644929959,0.037929439544677736,0.000504455821880419,False,"(50,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.7130553037171351,0.7669799231097821,0.6255538694992414,0.7419550698239223,0.733870430787669,0.7162829193875501,0.048540177272523764,7
8,36.35784997940063,15.1539264303407,0.07625050544738769,0.0067880521861857675,False,"(100,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.4059391872691105,0.8059411707601204,0.8527886739708733,0.7267474309727832,0.20371556694426649,0.5990264059834308,0.25182335167880443,11
9,36.79565143585205,15.463834721446617,0.0792452335357666,0.009052941312591246,False,"(100,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.4059391872691105,0.8059411707601204,0.8527886739708733,0.7267474309727832,0.20371556694426649,0.5990264059834308,0.25182335167880443,11
10,34.36875958442688,7.930855192604353,0.1327075481414795,0.011801444246372868,False,"(200,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.4218815918998734,0.6633516841295211,0.850109409190372,0.5557626791797905,0.6824988301357043,0.6347208389070522,0.1421475529207516,9
11,34.34119801521301,8.014684788156924,0.13705344200134278,0.006039567122616012,False,"(200,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.4218815918998734,0.6633516841295211,0.850109409190372,0.5557626791797905,0.6824988301357043,0.6347208389070522,0.1421475529207516,9
