,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6743873119354248,0.01764176746734806,0.012454605102539063,0.0007328114926144864,gini,,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.9651566373675906,0.9758950726692661,0.9790594498669033,0.9787857269660926,0.9763702585058186,0.9750534290751341,0.005106214643402724,4
1,0.06965303421020508,0.001871194956591341,0.012714338302612305,0.0002694604376145645,gini,,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.9630931458699472,0.9764768305624337,0.9771608497050868,0.9781558775311266,0.9757892869811989,0.9741351981299585,0.005576138462959689,9
2,0.659199333190918,0.028124037061052775,0.012089967727661133,0.0002572581765427472,gini,,3,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.9636486791600812,0.9757070662292758,0.9791805389088649,0.9792276964047936,0.9770897281907558,0.9749707417787542,0.005814902125000583,6
3,0.06796660423278808,0.002613834798402194,0.012612724304199218,0.00023541835386156127,gini,,3,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.9606733945784496,0.9761174116077386,0.975082317344487,0.9768621518198808,0.9764516992239765,0.9730373949149065,0.006210039519811685,12
4,0.660544490814209,0.026469189359838528,0.012070751190185547,0.0002173640937885429,gini,,4,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.9636856368563685,0.9754843285897947,0.979182387145457,0.9783872542493233,0.9769199982211946,0.9747319210124277,0.005666432785525692,7
5,0.06755871772766113,0.000987626583983075,0.012528944015502929,0.0002676727585516843,gini,,4,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.9604714415231188,0.9776019909341392,0.9775601068566341,0.9771937639198218,0.9758944882591454,0.9737443582985719,0.006665328863975404,10
6,0.5312949180603027,0.010048597503415526,0.011378812789916991,0.0002661514514596674,gini,10,2,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'best'}",0.9509920453506446,0.967869678696787,0.9694455595700076,0.9670081689759443,0.9683396294297535,0.9647310164046274,0.006914404611574281,15
7,0.0483889102935791,0.0006552699871448075,0.011712217330932617,0.0002668647858403903,gini,10,2,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.9089568063430601,0.9245620307472292,0.9132865256473324,0.9327334283677833,0.9399990984086914,0.9239075779028193,0.011606836764530238,28
8,0.5330869197845459,0.01028457221697406,0.01138134002685547,0.00026707050304511446,gini,10,3,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'best'}",0.9511838376451229,0.9679510262873605,0.9694428335638131,0.966955579631636,0.9686445634081605,0.9648355681072186,0.006874672549812295,14
9,0.04933609962463379,0.0012731063008289095,0.011707639694213868,0.00023717817936084158,gini,10,3,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'random'}",0.904182789754929,0.9056100142666482,0.9342014129380799,0.926758651888713,0.9334894402665826,0.9208484618229906,0.013288949510881972,30
10,0.5342069149017334,0.00825037882034704,0.011458444595336913,0.00038752689328485387,gini,10,4,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'best'}",0.9511882998171846,0.968218240749077,0.9693968593861528,0.9670488399386117,0.9684617807171458,0.9648628041216345,0.0068780820757396435,13
11,0.049710416793823244,0.0014643308553725118,0.0117462158203125,0.0002330799051978219,gini,10,4,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'random'}",0.9141376757957068,0.9392930444697832,0.9332905414699005,0.9261944431935876,0.9375883291543196,0.9301008068166595,0.009174048830634293,25
12,0.4107953071594238,0.001568636093457696,0.011086177825927735,0.00021738510791402844,gini,7,2,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.9235210557668515,0.9386043995672556,0.9402781565312245,0.9352092154987933,0.94490408218929,0.936503381910683,0.007203480028521991,22
13,0.04034123420715332,0.001308872378445412,0.011481189727783203,0.00013188453806128742,gini,7,2,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.8677520708369038,0.8874988909590986,0.8453406603641782,0.8481692701876188,0.8743798024149286,0.8646281389525458,0.015942561772593192,40
14,0.4092714309692383,0.0025166407048297862,0.01112833023071289,0.00022419738212956192,gini,7,3,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.9235210557668515,0.9386043995672556,0.9402781565312245,0.9352092154987933,0.94490408218929,0.936503381910683,0.007203480028521991,22
15,0.040521764755249025,0.0012668207869208656,0.011501169204711914,0.00014979257781795222,gini,7,3,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'random'}",0.8677520708369038,0.8874988909590986,0.8453406603641782,0.8481692701876188,0.8743798024149286,0.8646281389525458,0.015942561772593192,40
16,0.410455322265625,0.0018515187413172913,0.011213731765747071,0.00026652980910209755,gini,7,4,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'best'}",0.9235210557668515,0.9386043995672556,0.9402781565312245,0.9352092154987933,0.94490408218929,0.936503381910683,0.007203480028521991,22
